,臺北市,高雄市,臺北縣,宜蘭縣,桃園縣,新竹縣,苗栗縣,臺中縣,彰化縣,南投縣,雲林縣,嘉義縣,臺南縣,高雄縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,金門縣,連江縣
89年11月,2645979,1489435,3561626,465108,1729261,439070,559593,1492936,1309689,541467,743540,562025,1107312,1234008,907376,245299,353644,89415,388108,367929,963898,266144,733946,53293,6687
89年12月,2646474,1490560,3567896,465186,1732617,439713,559703,1494308,1310531,541537,743368,562305,1107687,1234707,907590,245312,353630,89496,388425,368439,965790,266183,734650,53832,6733
90年1月,2647076,1491714,3571054,465238,1735218,440202,559822,1495318,1311134,541669,743292,562303,1107659,1235013,907585,245226,353700,89594,388658,368749,967116,266297,735314,54484,6790
90年2月,2645881,1492794,3574612,465034,1738094,440715,559640,1495917,1311233,541427,743046,561978,1107411,1234840,907138,245002,353365,89728,388791,369242,969077,266414,735789,54901,6862
90年3月,2644602,1493186,3578882,464895,1740396,441232,559577,1496244,1311378,541303,742653,561826,1107579,1234911,906975,244791,353272,89830,388987,369622,971225,266596,736393,55153,6989
90年4月,2643578,1493596,3582610,464843,1742623,441741,559566,1496331,1311534,541213,742413,561931,1107371,1234904,906829,244583,353193,90028,389189,370135,973409,266775,737102,55443,7294
90年5月,2641820,1493828,3586885,464712,1745489,442189,559640,1496852,1311710,541155,742286,562699,1106572,1234911,906687,244430,353006,90366,389483,370611,975169,266712,738071,55753,7735
90年6月,2641036,1493854,3589787,466051,1748057,442766,559526,1497607,1311675,540987,742275,562813,1106821,1234896,906505,244275,352778,90719,389732,371017,977131,266858,738494,55950,7926
90年7月,2639619,1493942,3593315,465825,1750731,443316,559579,1498170,1311923,541242,742219,562978,1106619,1235089,906799,244219,352809,91052,389992,371295,978467,267821,738811,56215,8316
90年8月,2636811,1493563,3597675,465785,1754074,443893,559778,1498813,1312325,541238,742196,562849,1106763,1235475,907178,244148,352873,91454,390491,371871,979744,267996,739347,56459,8499
90年9月,2634686,1492606,3600382,465750,1755741,444370,559970,1499380,1312642,541266,742545,563059,1106748,1235943,907919,244206,352840,91965,390445,372100,980546,268118,739771,56631,8873
90年10月,2634429,1493242,3603652,465775,1758293,444983,560196,1500542,1313215,541475,742837,563309,1107092,1236537,908229,244269,353031,92033,390577,372477,981612,268093,740453,56757,8862
90年11月,2634614,1493909,3606602,465818,1760435,445561,560376,1501582,1313839,541748,742980,563450,1107176,1236737,908673,244338,353044,91958,390757,372804,982412,268215,740756,56837,8867
90年12月,2633802,1494457,3610252,465799,1762963,446300,560640,1502274,1313994,541818,743562,563365,1107397,1236958,909364,244612,353139,92268,390966,373296,983694,267993,740846,56958,8851
91年1月,2632515,1495596,3612495,465966,1764870,446977,560903,1502868,1314591,542007,744176,563519,1107812,1235845,909602,245022,353068,92889,390906,373691,984236,267711,740481,57205,9096
91年2月,2632010,1496779,3614389,466230,1766106,447610,561166,1503249,1315034,542181,744830,564055,1107999,1234303,910584,245630,353120,93159,390636,373841,984510,267140,740251,57412,9569
91年3月,2632789,1498655,3617031,466015,1768783,448088,561059,1503866,1314961,542109,744341,563691,1107958,1234364,909367,245374,353008,92702,390732,374237,985845,267212,740834,57482,9469
91年4月,2634028,1500772,3619940,465837,1771227,448513,561001,1504845,1314948,542002,743998,563470,1107563,1234462,908466,245133,352837,92379,390924,374797,987394,267241,741602,57644,9412
91年5月,2633611,1502092,3623112,465639,1774232,449030,560972,1505653,1315070,541806,743713,563114,1107468,1233755,908150,244906,352672,92419,390915,375392,988632,267479,741794,57781,9410
91年6月,2635678,1504061,3625669,465150,1777100,449416,560722,1506242,1315075,541385,743415,562606,1107082,1232847,907479,244631,352459,92424,390764,375862,990041,267592,742574,57892,9322
91年7月,2638142,1506266,3627654,464871,1779974,450045,560527,1507201,1314995,541106,743229,562537,1106971,1231865,906768,244345,352235,92536,390765,376279,991187,267480,742999,58047,9152
91年8月,2637623,1507268,3630765,464697,1783043,450546,560474,1508078,1315102,540818,742708,562397,1106936,1231717,906472,244138,352057,92521,390992,376765,992243,267499,743485,58222,9019
91年9月,2637215,1507733,3633592,464453,1785572,451011,560453,1508793,1315352,540788,742904,562306,1106986,1231987,906353,243919,352064,92470,391047,377219,993305,267620,743913,58377,8932
91年10月,2639094,1508761,3635368,464324,1788190,451492,560586,1509751,1315719,540927,742873,562353,1107236,1231989,906353,243855,352039,92496,391189,377777,994446,267763,744255,58582,8867
91年11月,2641786,1509947,3636811,464279,1790231,452097,560735,1510607,1315951,541040,742733,562639,1107364,1232052,906168,243835,352149,92443,391276,378125,995481,267784,744614,58727,8819
91年12月,2641856,1509510,3641446,464107,1792603,452679,560766,1511789,1316179,541292,742797,562394,1107583,1233395,906178,243965,352154,92446,391450,378797,996706,267907,745081,58933,8763
92年1月,2640303,1509131,3644747,464119,1794639,453193,560793,1512445,1316320,541412,742998,562467,1107546,1234403,906210,243947,352147,92460,391566,379182,997476,267981,745293,59140,8755
92年2月,2639139,1508862,3647919,463989,1796701,453431,560760,1513007,1316404,541386,742767,562010,1107138,1234821,906008,243834,351949,92434,391626,379541,998156,268189,745808,59311,8761
92年3月,2638065,1508917,3651248,463954,1799061,453906,560581,1513537,1316256,541222,742406,561747,1106919,1235203,905660,243581,351631,92366,391657,379938,999476,268263,746287,59517,8757
92年4月,2636955,1508816,3654067,463797,1800818,454297,560591,1513818,1316280,541010,742193,561318,1106599,1235339,905333,243718,351495,92344,391682,380307,1001053,268557,746708,59594,8740
92年5月,2633645,1508570,3657049,463664,1803177,454862,560479,1514652,1316131,540904,741942,561252,1106610,1235373,905154,244031,351327,92328,391694,380589,1001882,268755,746908,59601,8713
92年6月,2631380,1508497,3659211,463606,1805707,455354,560488,1515473,1315827,540682,741930,560968,1106531,1235438,904794,243967,351206,92298,391828,381035,1003272,268947,747401,59695,8718
92年7月,2629874,1508534,3661597,463458,1808525,455907,560574,1516029,1315896,540667,741677,560810,1106377,1235654,904552,243886,351299,92280,391790,381456,1004522,269130,748013,59777,8712
92年8月,2628160,1508379,3664693,463451,1811298,456621,560623,1516618,1315834,540594,741352,560667,1106338,1235932,904241,243563,351269,92301,391879,381624,1005564,269231,748252,59996,8723
92年9月,2626320,1508269,3667967,463325,1814299,457453,560635,1517385,1315638,540375,741222,560508,1106372,1236370,903922,243257,351238,92303,391909,381845,1006667,269313,748458,60183,8732
92年10月,2626652,1508637,3670635,463310,1817035,458135,560753,1518228,1315877,540401,741020,560437,1106584,1236796,903803,243163,351232,92293,392052,382154,1007659,269396,748805,60482,8742
92年11月,2626723,1508752,3672976,463328,1819433,458743,560938,1519145,1316034,540425,740782,560449,1106795,1237340,903887,243061,351249,92262,392200,382515,1008442,269503,749155,60731,8773
92年12月,2627138,1509350,3676533,463285,1822075,459287,560903,1520376,1316443,540397,740501,560410,1106833,1237469,903772,242842,351146,92253,392242,382897,1009387,269594,749628,60983,8806
93年1月,2627382,1509699,3678667,463215,1824247,459726,560830,1521107,1316650,540180,739951,560289,1106706,1237543,903721,242685,351045,92238,392214,383158,1009921,269584,749941,61159,8807
93年2月,2627843,1510122,3681494,462930,1826610,460349,560798,1521582,1316706,539949,739166,559881,1106406,1237416,903412,242393,350829,92068,392344,383370,1010612,269592,750097,61215,8813
93年3月,2627029,1510151,3684017,462758,1828926,460927,560863,1521965,1316771,539899,738703,559789,1106345,1237525,903162,242225,350587,91949,392403,383655,1011613,269681,750379,61332,8824
93年4月,2625895,1510299,3686687,462614,1831409,461566,560597,1522459,1316321,539721,738298,559329,1105983,1237501,902639,241955,350468,91885,392487,384044,1012846,269930,751146,61614,8896
93年5月,2625512,1510441,3689664,462477,1834045,462169,560453,1522986,1315886,539431,738158,558932,1105748,1237265,902323,241676,350135,91840,392342,384384,1014080,270143,751902,61757,8912
93年6月,2625445,1510873,3692115,462313,1837050,462718,560497,1523398,1316045,538965,738213,558501,1105466,1237547,901765,241332,349976,91822,392279,384843,1015440,270156,752523,61990,8978
93年7月,2624858,1511356,3694608,462285,1839691,463321,560465,1523708,1316137,538834,737987,558254,1105265,1237540,901507,241192,349733,91796,392256,385267,1016520,270152,753106,62209,9113
93年8月,2624139,1511733,3697246,462249,1842468,464033,560520,1524165,1316124,538711,737558,557955,1105319,1237607,901114,240869,349625,91767,392313,385583,1017232,270157,753473,62493,9189
93年9月,2621641,1511545,3700163,462232,1845608,465161,560475,1524678,1316171,538713,737358,557842,1105177,1237917,900686,240739,349360,91783,392289,385771,1018023,270241,753788,62753,9227
93年10月,2621826,1512088,3702715,462240,1847977,465742,560563,1525417,1316420,538657,737213,557921,1105514,1238176,900599,240596,349320,91742,392214,385999,1018909,270254,753942,62986,9244
93年11月,2622565,1512688,3705291,462271,1850605,466364,560700,1526202,1316820,538537,737009,557898,1105455,1238448,900361,240529,349252,91753,392220,386647,1020034,270286,754500,63246,9259
93年12月,2622472,1512677,3708099,462286,1853029,467246,560643,1527040,1316762,538413,736772,557903,1105674,1238925,900199,240373,349149,91808,392337,386950,1021292,270341,754917,64456,9359
94年1月,2621942,1512815,3710999,462165,1855317,467874,560538,1527613,1316795,538301,736348,557736,1105589,1239090,900023,240291,348970,91864,392385,387148,1022297,270554,755296,64907,9492
94年2月,2621441,1512918,3713288,462048,1857194,468340,560395,1528015,1316767,538275,736086,557605,1105627,1239097,899809,240082,348729,91903,392435,387567,1023048,270665,755438,65282,9573
94年3月,2619022,1512746,3714873,461978,1859220,469217,560070,1528258,1316453,538245,735511,557346,1105475,1239133,899460,239870,348539,91871,392250,387861,1024171,270693,755536,65843,9654
94年4月,2618706,1513385,3716957,461879,1861115,470108,559902,1528524,1316214,538080,735062,556973,1105567,1238858,898980,239706,348355,91894,392218,388158,1025109,270900,755525,66328,9777
94年5月,2617694,1512803,3720121,461745,1863483,471219,559657,1528996,1315900,537688,734960,556568,1105540,1239062,898705,239574,348208,92012,392303,388515,1026360,271446,755912,66690,9869
94年6月,2617386,1512481,3722490,461695,1865923,472206,559509,1529460,1315471,537554,734584,556999,1105233,1239221,898480,239432,348078,92104,392365,388887,1027839,271609,756436,67120,9997
94年7月,2616793,1512280,3725057,461672,1868572,473220,559528,1529840,1315315,537448,734491,556745,1104984,1239710,898748,239322,347907,92274,392359,389150,1028735,271833,756751,67721,10364
94年8月,2619117,1511762,3726039,461505,1871474,474265,559558,1530298,1315020,537345,734052,556365,1105050,1240203,898611,239184,347641,92362,392084,389488,1029644,271949,756751,68265,10527
94年9月,2617034,1511326,3728954,461467,1873903,475032,559649,1530955,1314984,537265,733739,556285,1105231,1240821,898466,238979,347475,92388,392012,390205,1030589,271925,756794,68808,10553
94年10月,2616596,1511452,3730954,461500,1876044,475798,559852,1531772,1315309,537228,733553,556434,1105400,1241280,898435,238974,347348,92405,392014,390353,1031129,271989,756918,69287,10523
94年11月,2615308,1511202,3734335,461563,1878505,476662,559890,1532630,1315691,537270,733457,556518,1105570,1242050,898446,238858,347290,92426,392099,390385,1032005,272062,757108,69661,10473
94年12月,2616375,1510649,3736677,461586,1880316,477677,559944,1533442,1315826,537168,733330,557101,1106059,1242837,898300,238943,347298,92489,391727,390692,1032778,271701,756859,70264,10345
95年1月,2616473,1510444,3738424,461511,1882666,478399,560163,1533896,1315936,537345,733511,557636,1106464,1242983,898329,238945,347407,92580,391553,390973,1033697,271590,756792,70646,10218
95年2月,2616645,1510213,3740684,461397,1884424,479218,560132,1534329,1315897,537409,733096,557551,1106524,1243192,898204,238922,347391,92538,391462,391348,1034213,271666,756921,71181,10163
95年3月,2618058,1510577,3742337,461116,1886533,479997,559938,1534889,1315776,537153,732792,557120,1106486,1243206,897724,238685,347209,92429,391319,391638,1035295,271865,757089,71710,10111
95年4月,2619384,1511224,3743553,461013,1888518,480662,559796,1535351,1315688,536979,732552,556754,1106310,1243181,897308,238517,347133,92300,391215,391965,1036265,271957,757425,72198,10066
95年5月,2620693,1511601,3746073,460892,1891258,481409,559888,1535967,1315559,536653,732112,556333,1106191,1243341,896778,238252,346935,92275,391051,392245,1037429,272181,757913,72600,10018
95年6月,2623783,1512255,3748141,460855,1894010,482223,559642,1536737,1315130,536190,731596,555647,1105949,1243333,896213,237797,346684,92201,390996,392639,1038972,272242,758323,73103,9975
95年7月,2625757,1512856,3750504,460809,1896739,483138,559562,1537769,1314858,536002,730986,555131,1105954,1243552,895744,237522,346330,92116,390951,392940,1039831,272306,758682,73635,9930
95年8月,2626291,1513153,3753797,460680,1899853,484223,559690,1538818,1314821,535833,730294,554607,1105836,1243701,895018,237123,345966,92006,390911,393291,1040725,272314,759018,74278,9926
95年9月,2625441,1513204,3756392,460599,1902821,485146,559661,1539845,1314664,535552,729923,554466,1105793,1244139,894630,236803,345663,91954,390844,393557,1041455,272292,759455,74827,9917
95年10月,2627474,1513972,3758821,460561,1905311,485868,559825,1540867,1314834,535485,729594,554419,1106070,1244512,894363,236615,345521,91887,390875,393958,1042527,272290,759743,75386,9883
95年11月,2630835,1515081,3761281,460412,1908101,486710,559926,1542054,1314839,535372,729203,554253,1106400,1244485,893903,236399,345465,91892,390848,394376,1043333,272278,759885,75943,9848
95年12月,2632242,1514706,3767095,460426,1911161,487692,559986,1543436,1315034,535205,728490,553841,1106690,1245474,893544,235957,345303,91785,390633,394757,1044392,272364,760037,76491,9786
96年1月,2630872,1514935,3770631,460354,1912875,488312,559837,1543719,1314903,534997,727921,553458,1106396,1244993,893124,235549,344776,91850,390631,394993,1044896,272431,760170,77100,9787
96年2月,2629106,1514825,3770748,460343,1913879,488825,559813,1544207,1315067,534927,727784,553216,1106506,1244851,892522,235405,344720,91886,390495,394893,1045210,272278,760367,77477,9782
96年3月,2626273,1514977,3771528,460211,1915521,489334,559709,1544771,1314822,534724,727446,552819,1106114,1244560,891915,235226,344550,91950,390412,396261,1046372,272221,761064,77873,9801
96年4月,2627146,1515307,3773177,460265,1917187,490019,559740,1545017,1314711,534530,727162,552446,1106009,1244316,891587,235137,344453,92023,390455,396402,1047692,272434,761489,78407,9791
