年月,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
101年1月,2652959,3917945,2665613,1877115,2774925,459018,2014216.0,420342,517853,562164,1302754,522562,713295,271524,537628,864081,228118,336733,97248,379742,104538,10133
101年2月,2653948,3919597,2666925,1877397,2774831,458792,2015012.0,420588,518371,562190,1302193,522201,712989,271549,537072,863540,227934,336621,97268,379416,105434,10135
101年3月,2656512,3920761,2668799,1877778,2774586,458611,2015933.0,421041,518831,562259,1301506,521902,712747,271464,536373,862946,227772,336485,97452,379021,106358,10131
101年4月,2658685,3921580,2670395,1878077,2774649,458479,2017262.0,421432,519181,562372,1301053,521804,712529,271595,535845,862363,227578,336318,97612,378886,107198,10125
101年5月,2661017,3923969,2672390,1878314,2774730,458511,2018663.0,422013,519704,562507,1300589,521452,712102,271695,535353,861928,227400,336076,97639,378522,107646,10172
101年6月,2663263,3926188,2674359,1878795,2775482,458616,2020103.0,422554,520234,562684,1300618,521218,711887,271689,535045,861373,227194,336020,97724,378301,108147,10253
101年7月,2664487,3928418,2675939,1879022,2775734,458514,2021677.0,422883,520776,562762,1300223,520992,711538,271588,534686,860759,227014,335794,97947,378032,108963,10624
101年8月,2665602,3930638,2677876,1879506,2776204,458550,2024100.0,423318,521578,562888,1299734,520640,711394,271399,534387,860044,226778,335522,98017,377744,109728,10794
101年9月,2665832,3933061,2679172,1879644,2776550,458432,2025716.0,423692,522376,563013,1299446,520374,711041,271339,534178,859423,226621,335331,98104,377537,110851,10937
101年10月,2668231,3935072,2681041,1880360,2777128,458438,2027097.0,424099,522855,563300,1299606,520289,711183,271288,533985,859066,226513,335288,98612,377309,111775,11058
101年11月,2671006,3937149,2683066,1881026,2777897,458548,2028628.0,424533,523333,563660,1299692,520278,711000,271283,533933,858739,226383,335223,98745,377259,112444,11196
101年12月,2673226,3939305,2684893,1881645,2778659,458595,2030161.0,425071,523993,563976,1299868,520196,710991,271220,533723,858441,226252,335190,98843,377153,113111,11310
102年1月,2675033,3941239,2687052,1881905,2778798,458599,2031837.0,425450,524559,564223,1299724,520043,710829,271256,533404,857939,226093,334989,98927,377021,113755,11417
102年2月,2676128,3942202,2688216,1882118,2779096,458599,2032848.0,425702,524920,564343,1299549,519921,710574,271195,533106,857569,226047,334991,98919,376856,114191,11512
102年3月,2677771,3942882,2689659,1882369,2778936,458599,2033634.0,426145,525327,564386,1299274,519733,710269,271240,532541,857017,225898,334872,99032,376659,114867,11595
102年4月,2679051,3943421,2690837,1882475,2778793,458552,2034381.0,426464,525825,564354,1298913,519426,709814,271338,531949,856522,225834,334712,99117,376564,115601,11637
102年5月,2680296,3944955,2692563,1882352,2778920,458582,2035552.0,426856,526438,564492,1298286,519055,709698,271312,531492,855733,225558,334513,99241,376372,116168,11702
102年6月,2681554,3945789,2693892,1882526,2779092,458602,2036708.0,427050,526920,564647,1297968,518738,709491,271291,531026,855345,225407,334468,99276,376082,116570,11771
102年7月,2682372,3947608,2695353,1882620,2779416,458636,2038147.0,427137,527609,564806,1297666,518531,709202,271223,530718,854789,225270,334302,99387,375834,117229,11869
102年8月,2682017,3949765,2696712,1882774,2779448,458648,2039557.0,427265,528376,565023,1297167,518312,708864,271260,530365,854226,225137,334128,99462,375755,117845,11955
102年9月,2681584,3951381,2697665,1882803,2779246,458580,2040629.0,427561,529175,565107,1296660,517984,708574,271106,530004,853607,224989,334039,99516,375413,118924,12041
102年10月,2682839,3952335,2698811,1882777,2779427,458558,2041544.0,427850,529554,565252,1296420,517701,708373,270969,529750,853130,224936,334014,100090,375204,119534,12079
102年11月,2684567,3953858,2700300,1883114,2779563,458514,2042668.0,428080,530004,565369,1296160,517460,708044,270934,529568,852837,224875,333961,100233,375063,120037,12111
102年12月,2686516,3954929,2701661,1883208,2779877,458456,2044023.0,428483,530486,565554,1296013,517222,707792,270872,529229,852286,224821,333897,100400,374914,120713,12165
103年1月,2688140,3955777,2702920,1883251,2779790,458378,2044857.0,428834,530882,565661,1295658,517037,707389,270941,528825,851774,224738,333823,100585,374799,121261,12195
103年2月,2689327,3955842,2704070,1883033,2779653,458312,2045309.0,429018,531303,565666,1295375,516731,707188,271072,528148,851432,224753,333653,100609,374658,121749,12228
103年3月,2690232,3955390,2705064,1883077,2778669,458427,2045811.0,429212,531723,565693,1294911,516315,706958,271103,527721,851127,224675,333639,100812,374428,122296,12311
103年4月,2691331,3954905,2706209,1883102,2778132,458550,2046547.0,429420,532474,565965,1294433,516207,707151,271063,527470,850931,224803,333694,100994,374269,122956,12342
103年5月,2692138,3955995,2707123,1882865,2777415,458568,2047834.0,429654,533361,566262,1293997,515996,707199,270983,527196,850693,224905,333668,101156,373998,123512,12365
103年6月,2693672,3956728,2708338,1883042,2777296,458771,2049009.0,430041,533851,566446,1293530,515784,707282,270841,526936,850527,225041,333630,101112,373786,123947,12426
103年7月,2695027,3957965,2709764,1882946,2777240,458786,2050600.0,430295,534493,566704,1293129,515564,707199,270818,526735,850166,225170,333707,101176,373702,124616,12461
103年8月,2695007,3959855,2711252,1883451,2777318,458877,2052529.0,430644,535307,566818,1292599,515345,706941,270885,526469,849794,225061,333733,101110,373721,125089,12438
103年9月,2695649,3961374,2712948,1883493,2777461,458784,2054260.0,431029,536111,566918,1292126,515081,706688,270826,526028,849326,224931,333531,101482,373597,126156,12481
103年10月,2697644,3962920,2714642,1883562,2777773,458799,2055259.0,431336,536539,567044,1292098,514894,706634,270779,525775,849113,224807,333413,101548,373463,126562,12512
103年11月,2700091,3963970,2716497,1883844,2778155,458880,2056273.0,431601,536954,567202,1292226,514836,706174,270858,525579,848804,224719,333484,101636,373340,126964,12528
103年12月,2702315,3966818,2719835,1884284,2778992,458777,2058328.0,431988,537630,567132,1291474,514315,705356,270883,524783,847917,224470,333392,101758,373077,127723,12506
104年1月,2704133,3967571,2721709,1884641,2779355,458691,2061501.0,432259,537907,567092,1291312,513970,704784,270925,524276,847155,224218,333240,101803,373011,128187,12538
104年2月,2705113,3967419,2723479,1884863,2779527,458490,2065966.0,432366,537978,567004,1291053,513696,704241,270875,523835,846650,224092,333070,101850,372956,128477,12534
104年3月,2705958,3965649,2725497,1885106,2779136,458370,2072736.0,432456,538071,566585,1290495,513092,703407,270867,523162,845779,223831,332837,101856,372969,128924,12504
104年4月,2705949,3964888,2727460,1885287,2778914,458273,2077929.0,432559,538153,566199,1289792,512460,702881,271009,522587,845079,223559,332674,101842,372985,129423,12485
104年5月,2705921,3965926,2729291,1885240,2778793,458250,2082165.0,432692,538712,565795,1289506,511940,702304,270958,522065,844445,223326,332472,101838,372791,129639,12476
104年6月,2706030,3966052,2731500,1885376,2778835,458313,2086081.0,432860,539173,565704,1289274,511518,701898,270896,521591,843981,223189,332424,101753,372787,129831,12496
104年7月,2703444,3966071,2733761,1885077,2778276,458299,2089553.0,432966,539620,565300,1288930,511060,701280,270732,521186,843522,223025,332242,101777,372620,130461,12506
104年8月,2701571,3966533,2736813,1885079,2777948,458375,2092977.0,433091,540193,564855,1288529,510632,700846,270656,520910,842976,222967,332091,101734,372604,131099,12524
104年9月,2700115,3967483,2738553,1885037,2777870,458261,2096432.0,433348,540605,564549,1288295,510094,700437,270473,520670,842425,222910,332026,102204,372511,131905,12545
104年10月,2701514,3968921,2740634,1885175,2778249,458078,2099583.0,433581,541078,564305,1288346,509911,700127,270396,520424,842097,222708,332063,102279,372355,132269,12547
104年11月,2702809,3969855,2742503,1885390,2778512,458070,2102513.0,433774,541527,564111,1288696,509738,699793,270415,520119,841669,222645,332033,102317,372226,132532,12546
104年12月,2704810,3970644,2744445,1885541,2778918,458117,2105780.0,434060,542042,563912,1289072,509490,699633,270366,519839,841253,222452,331945,102304,372105,132799,12547
105年1月,2704974,3971250,2746112,1885550,2778729,458037,2108786.0,434258,542513,563489,1289295,509162,699236,270273,519482,840931,222244,331845,102355,372019,132995,12533
105年2月,2704410,3971660,2747561,1885453,2778574,457995,2111148.0,434279,542821,563084,1289209,508586,698753,270297,519045,840408,222118,331801,102336,371914,132960,12523
105年3月,2704495,3970790,2748799,1885157,2778240,457854,2114172.0,434492,543183,562473,1288945,508146,698187,270264,518507,839760,221974,331633,102332,371882,132998,12530
105年4月,2703829,3971000,2750322,1885252,2778107,457815,2116988.0,434674,543600,562133,1288923,507852,697752,270463,518026,839339,221817,331498,102369,372037,133086,12522
105年5月,2702930,3972003,2752413,1885199,2777784,457811,2120838.0,434955,544198,561755,1288776,507421,697318,270295,517698,839001,221633,331379,102396,371878,133150,12518
105年6月,2702925,3972204,2754191,1885388,2778092,457808,2124339.0,435238,544624,561495,1288803,507210,697105,270254,517339,838584,221504,331372,102329,371837,133185,12536
105年7月,2701645,3973655,2756256,1885629,2778285,457746,2128594.0,435488,545204,561138,1288970,506966,696691,270125,517224,838166,221408,331323,102357,371901,133448,12531
105年8月,2698591,3974278,2758136,1885601,2778318,457788,2132854.0,435805,545674,560745,1288345,506530,696315,269992,516915,837700,221324,331332,102406,371986,133656,12550
105年9月,2696316,3974911,2759887,1885499,2778332,457671,2136702.0,436220,546272,560271,1287665,506052,695925,269890,516531,837048,221199,331223,102880,372019,134419,12586
105年10月,2696319,3976313,2762699,1885603,2778375,457599,2140392.0,436490,546672,559886,1287450,505660,695628,269804,516218,836699,221098,331065,102992,372048,134687,12598
105年11月,2695652,3977905,2764958,1885653,2778770,457587,2144044.0,436877,546934,559557,1287165,505371,695195,269815,515835,836243,220942,330930,103104,372062,134858,12608
105年12月,2695704,3979208,2767239,1886033,2779371,457538,2147763.0,437337,547481,559189,1287146,505163,694873,269874,515320,835792,220802,330911,103263,372100,135114,12595
106年1月,2695371,3979963,2769005,1886075,2779332,457349,2150685.0,437753,547794,558779,1286842,504838,694519,269879,515012,835409,220712,330810,103303,372044,135223,12649
106年2月,2694195,3980317,2770356,1886160,2779052,457323,2153521.0,438018,548090,558373,1286346,504561,693987,269828,514717,834807,220632,330691,103281,372049,135235,12650
106年3月,2693313,3980414,2772118,1886368,2778726,457205,2156999.0,438322,548418,557741,1285885,504098,693525,269938,514134,834191,220465,330484,103343,371973,135342,12678
106年4月,2692118,3980867,2773527,1886636,2778734,457093,2160035.0,438524,548660,557225,1285450,503862,693209,269949,513772,833602,220244,330343,103385,372086,135440,12687
106年5月,2690813,3982268,2775294,1886473,2778415,457133,2163728.0,438863,549118,556638,1284785,503575,692818,269793,513393,832994,220191,330139,103434,371981,135535,12696
106年6月,2689845,3982434,2776579,1886502,2778023,457106,2167616.0,439299,549580,556324,1284423,503261,692570,269717,513082,832489,220083,329976,103406,371876,135563,12716
106年7月,2687629,3984051,2778182,1886267,2777873,456985,2171127.0,439435,550070,555972,1284045,502932,692074,269608,512792,832127,219974,329845,103419,371853,135816,12727
106年8月,2685202,3984720,2780155,1886145,2777564,456904,2174895.0,439747,550621,555485,1283426,502482,691673,269427,512548,831629,219879,329676,103412,371819,136004,12756
106年9月,2682893,3984975,2781498,1886088,2777021,456851,2178458.0,440098,551201,555049,1282991,502095,691348,269338,512064,831073,219716,329531,103843,371758,136812,12766
106年10月,2683202,3985698,2783298,1886387,2776791,456756,2181470.0,440409,551447,554652,1282934,501757,691021,269364,511797,830697,219686,329462,103956,371669,137042,12823
106年11月,2683321,3986291,2785159,1886465,2776846,456688,2184655.0,440717,551816,554267,1282669,501474,690662,269338,511520,830303,219627,329374,104005,371560,137255,12841
106年12月,2683257,3986689,2787070,1886522,2776912,456607,2188017.0,441132,552169,553807,1282458,501051,690373,269398,511182,829939,219540,329237,104073,371458,137456,12880
107年1月,2682721,3986348,2788828,1886251,2776786,456362,2191034.0,441639,552334,553245,1281940,500686,689861,269345,510806,829475,219467,329016,104105,371317,137577,12906
107年2月,2681375,3986501,2790381,1886074,2776366,456259,2193098.0,441817,552488,552807,1281304,500449,689463,269327,510498,829094,219436,328853,104087,371204,137625,12902
107年3月,2680218,3986382,2792164,1885882,2775935,456068,2196349.0,442315,552877,552161,1280528,500103,689098,269307,510018,828654,219466,328695,104086,371119,137642,12923
107年4月,2678695,3985915,2793005,1885478,2775318,456066,2198830.0,442570,553250,551791,1280038,499879,689003,269239,509677,828524,219628,328683,104121,371099,137730,12958
107年5月,2676767,3986911,2793980,1884935,2774323,456047,2202034.0,443038,553978,551337,1279460,499531,688781,269091,509360,828463,219744,328721,104107,370944,137860,13003
107年6月,2675713,3987520,2794933,1884717,2773932,456006,2204824.0,443351,554541,551082,1279276,499194,688717,268951,509161,828275,219643,328749,104013,370795,137837,13044
107年7月,2674063,3988906,2796081,1884596,2773506,455924,2208035.0,443581,555074,550825,1278945,498851,688559,268973,508729,828083,219584,328709,104041,370612,137952,13076
107年8月,2672092,3990211,2797223,1884327,2773093,455758,2211127.0,443969,555604,550386,1278568,498425,688081,268809,508372,827599,219489,328601,103976,370461,138026,13074
107年9月,2669639,3991411,2797874,1884036,2772820,455592,2213379.0,444406,556056,550085,1278311,498117,687646,268699,508038,827051,219342,328444,104392,370368,138724,13058
107年10月,2669874,3992291,2799254,1883804,2772624,455508,2215615.0,444775,556307,549798,1278437,497876,687195,268741,507780,826779,219268,328331,104400,370269,138845,13062
107年11月,2669634,3993872,2801238,1883760,2773001,455376,2217776.0,445107,556622,549405,1278371,497486,686674,268697,507462,826323,219145,328264,104441,370206,138963,13042
107年12月,2668572,3995717,2803894,1883831,2773533,455221,2220872.0,445635,557010,548863,1277824,497031,686022,268622,507068,825406,218919,327968,104440,370155,139273,13056
108年1月,2666908,3997189,2806406,1883723,2773607,455035,2223733.0,445990,557349,548403,1277176,496606,685354,268579,506559,824587,218691,327788,104511,369987,139484,13079
108年2月,2664983,3998358,2807325,1883448,2773596,454922,2225621.0,446210,557641,548124,1276766,496435,684759,268543,506206,823952,218513,327654,104533,369916,139426,13073
108年3月,2663425,3998883,2808219,1883356,2773271,454770,2228118.0,446567,558020,547692,1276289,496167,684241,268502,505785,823256,218256,327513,104574,369848,139387,13053
108年4月,2661317,4000164,2809004,1883078,2773229,454732,2230653.0,446701,558507,547387,1275669,495891,683898,268474,505408,822709,218119,327349,104683,369820,139464,13056
108年5月,2658615,4003297,2809545,1882624,2773026,454725,2232623.0,447081,559317,547037,1275111,495546,683589,268514,505035,822270,217936,327080,104751,369613,139440,13095
108年6月,2657652,4004598,2810219,1882313,2773177,454706,2235005.0,447359,559734,546690,1274724,495283,683318,268435,504750,821834,217721,326986,104676,369475,139281,13095
108年7月,2654008,4007814,2811148,1881796,2773591,454636,2237943.0,447484,560719,546461,1274274,495084,682912,268231,504453,821196,217540,326813,104708,369360,139365,13062
108年8月,2650154,4010657,2811729,1881730,2773786,454579,2240328.0,447781,561806,546424,1273613,495062,682577,268068,504106,820798,217408,326780,104711,369305,139319,13073
108年9月,2647164,4012918,2812507,1881494,2773199,454345,2242685.0,447952,562674,546093,1273130,494692,682066,267863,503773,820155,217166,326576,105152,369132,139987,13060
108年10月,2646204,4014560,2813397,1881204,2773127,454287,2245059.0,448207,563104,545852,1272939,494522,681834,267772,503485,819793,217074,326465,105192,369055,140045,13089
108年11月,2645293,4016477,2814224,1881156,2773060,454226,2246893.0,448472,563368,545645,1272789,494352,681584,267733,503357,819429,216966,326369,105236,368905,140149,13093
108年12月,2645041,4018696,2815261,1880906,2773198,454178,2249037.0,448803,563933,545459,1272802,494112,681306,267690,503113,819184,216781,326247,105207,368893,140185,13089
109年1月,2642877,4020572,2815704,1880216,2774571,454161,2250954.0,449113,564296,545433,1272449,493984,680963,267653,502718,818493,216633,326063,105147,368932,140253,13080
109年2月,2639084,4022450,2816052,1879647,2774316,454099,2252835.0,449251,564832,545158,1271761,493743,680448,267598,502385,817803,216453,325857,105121,368870,140081,13059
109年3月,2635286,4023620,2816667,1879115,2773984,453951,2254363.0,449425,565272,544762,1271015,493403,680050,267472,502007,817193,216308,325706,105117,368792,139951,13034
109年4月,2631083,4024539,2816741,1878845,2773401,453915,2255753.0,449593,565851,544548,1270521,493138,679635,267432,501774,816636,216164,325582,105070,368850,139804,13045
109年5月,2626385,4026407,2816494,1878253,2772834,453970,2256665.0,449806,566434,544339,1269953,492877,679468,267203,501376,816173,216045,325453,105022,368686,139683,13036
109年6月,2624143,4026646,2816917,1877891,2771846,453891,2258099.0,450021,566998,544135,1269791,492733,679273,267034,501212,815789,215940,325271,105028,368528,139588,13049
109年7月,2620037,4027481,2816792,1877294,2770654,453760,2260043.0,450113,567807,543803,1269395,492410,678896,266833,500897,815367,215768,325058,105174,368372,139628,13123
109年8月,2615642,4028324,2816819,1876829,2769434,453646,2262440.0,450288,568516,543711,1268766,492168,678589,266668,500654,814895,215674,325018,105277,368184,139703,13089
109年9月,2610762,4029205,2816779,1876364,2767931,453452,2264231.0,450617,569199,543513,1267988,491743,678064,266442,500316,814210,215483,324804,105794,368020,140329,13132
109年10月,2608332,4029920,2817547,1875909,2767383,453309,2265940.0,450793,569565,543287,1267786,491546,677669,266251,500117,813676,215468,324602,105912,367890,140420,13149
109年11月,2605369,4030594,2818670,1875378,2766752,453246,2267070.0,451033,570065,542985,1267339,491241,677293,266076,499881,813176,215351,324501,105907,367740,140490,13199
109年12月,2602418,4030954,2820787,1874917,2765932,453087,2268807.0,451412,570775,542590,1266670,490832,676873,266005,499481,812658,215261,324372,105952,367577,140597,13279
110年1月,2597635,4029774,2820943,1873755,2764291,452941,2269216.0,451655,570982,542127,1265654,490399,676219,265852,498894,811978,215113,324074,105913,367379,140536,13303
110年2月,2592878,4029493,2821464,1873043,2763057,452751,2269948.0,451757,571291,541914,1264897,490001,675673,265751,498499,811275,214983,323929,105908,367269,140511,13296
110年3月,2586660,4028474,2821322,1871961,2761462,452497,2270689.0,451868,571774,541460,1263635,489509,675074,265560,498031,810449,214745,323666,105867,367178,140406,13336
110年4月,2581006,4027730,2820979,1871224,2760028,452355,2270971.0,452229,572422,541226,1262673,489148,674622,265416,497641,809765,214599,323441,105905,367088,140325,13403
110年5月,2574704,4026019,2820114,1870343,2758494,452334,2270939.0,452450,572872,540917,1261770,488689,674152,265234,497172,809130,214428,323252,105749,366643,140228,13437
110年6月,2570090,4023634,2819930,1869610,2757205,452151,2271969.0,452619,573243,540587,1261272,488337,673766,265046,496756,808631,214274,323101,105693,366196,139975,13424
110年7月,2562738,4021398,2819081,1868739,2755491,451946,2272459.0,452807,573385,540312,1260388,487743,673309,264721,496440,807970,214132,322836,105634,365891,139764,13449
110年8月,2553798,4019898,2818139,1867554,2753530,451635,2272976.0,452781,573858,539879,1259246,487185,672557,264858,495662,807159,213956,322506,105645,365591,140004,13420
110年9月,2544720,4017632,2816393,1866073,2751317,451422,2272812.0,452882,574512,539361,1257992,486455,671686,265002,494868,806305,213818,322260,106036,365117,140856,13429
110年10月,2538299,4014869,2815477,1864799,2749293,451175,2272663.0,452844,574806,538940,1257033,485983,671182,265208,494293,805717,213718,321971,106147,364766,141180,13516
110年11月,2531659,4011586,2814422,1863435,2746939,450944,2272452.0,452665,575131,538568,1256062,485479,670664,264954,493855,805177,213534,321697,106310,364350,141327,13577
110年12月,2524393,4008113,2813490,1862059,2744691,450692,2272391.0,452640,575580,538178,1255330,484897,670132,264727,493316,804440,213386,321358,106340,363977,141539,13645
111年1月,2514425,4003812,2812308,1860379,2742032,450406,2271637.0,452586,575754,537817,1254308,484422,669354,264544,492676,803787,213296,321063,106296,363594,141505,13665
111年2月,2504597,3999305,2810285,1858650,2738002,450080,2269997.0,452055,575923,537428,1252997,483980,668722,264344,492203,803023,213172,320854,106225,363091,141181,13662
111年3月,2490445,3989880,2806385,1855449,2731782,449435,2266913.0,451689,575746,536585,1250631,482841,667667,263821,491507,801914,213032,320405,106174,362239,140740,13711
111年4月,2478124,3975803,2801069,1852429,2726087,448963,2263430.0,450494,575682,535780,1248262,481943,666655,263202,490824,801377,212959,319842,106216,361612,140510,13752
111年5月,2470599,3972841,2799312,1851483,2724134,448933,2262765.0,450347,576027,535414,1247683,481670,666425,262983,490423,801201,212924,319351,106238,361320,140323,13782
111年6月,2464452,3972271,2799339,1850865,2723177,448856,2264082.0,450464,576373,535260,1247630,481166,665971,262844,490007,800321,212804,319180,106167,361079,140147,13823
111年7月,2462482,3974683,2800981,1850735,2722904,448971,2266824.0,450655,577026,535221,1246924,480890,665750,262659,489814,800138,212891,319095,106221,361082,140229,13889
111年8月,2461695,3976840,2802690,1850880,2722713,449050,2269400.0,450836,577674,535243,1246388,480477,665376,262606,489509,799658,212824,319024,106376,361099,140294,13902
111年9月,2460932,3979218,2804081,1850687,2722716,448945,2271464.0,450893,578495,535187,1245530,480027,664963,262501,489169,799153,212721,318858,106806,361006,140843,13938
111年10月,2465610,3982363,2806458,1850955,2723495,449012,2273968.0,451203,578949,535149,1245445,479889,664604,262591,488920,798965,212712,318849,106891,361114,140938,13976
111年11月,2472547,3987676,2809728,1851545,2725200,448939,2276998.0,451690,579600,535159,1245318,479743,664417,262705,488543,798860,212636,318848,107057,361262,141133,13989
111年12月,2480681,3995551,2814459,1852997,2728137,449062,2281464.0,452473,580503,535132,1245239,479595,664092,262924,488158,798703,212551,318892,107223,361526,141295,13983
112年1月,2488043,4004367,2819798,1855092,2731635,449391,2286942.0,452928,582228,535259,1245824,479666,663981,263188,488012,798940,212511,318995,107322,361891,141965,13990
112年2月,2490133,4008245,2822543,1855655,2732598,449418,2289927.0,453120,583337,535076,1244993,479406,663294,263270,487542,798367,212331,318863,107276,362010,142163,13983
112年3月,2494813,4013659,2826230,1856642,2733964,449510,2293509.0,453536,584454,534910,1244148,479244,662813,263440,487092,798016,212259,318736,107333,362177,142455,13989
112年4月,2498488,4017745,2828813,1857292,2734893,449624,2296333.0,453824,584832,534832,1243659,479044,662550,263585,486774,797771,212196,318692,107397,362325,142717,13988
112年5月,2501988,4021983,2831323,1858092,2735456,449711,2299339.0,454176,585568,534739,1243048,478817,662109,263639,486418,797471,212087,318511,107401,362330,142885,13993
112年6月,2504687,4025405,2834046,1858444,2736019,449705,2302465.0,454603,586299,534677,1242521,478462,661767,263707,486229,797291,212008,318306,107312,362396,142942,13992
112年7月,2507143,4031256,2837555,1859229,2737298,449976,2306565.0,455069,587065,534968,1242512,478334,661576,263810,486049,796936,211933,318165,107331,362539,143109,14005
112年8月,2506788,4034102,2839768,1859728,2737582,450095,2309770.0,455228,587580,535055,1241764,477993,661107,263836,485681,796506,211807,318087,107363,362496,143290,14028
112年9月,2506251,4036911,2841225,1859842,2737261,450031,2311870.0,455510,588183,535011,1240871,477691,660545,263750,485410,796114,211681,317881,107701,362548,143964,14049
112年10月,2508658,4038948,2842926,1859927,2737660,450034,2314027.0,455860,588535,534829,1240284,477558,660144,263695,485202,795786,211613,317773,107808,362487,144033,14071
112年11月,2509894,4039946,2844250,1859776,2737608,449963,2315727.0,456116,588906,534677,1239614,477326,659841,263596,484892,795417,211550,317643,107761,362354,144080,14071
112年12月,2511886,4041120,2845909,1859946,2737941,449890,2317445.0,456475,589289,534575,1239048,477094,659468,263584,484560,794997,211544,317489,107739,362255,144149,14039
113年1月,2511291,4041869,2847264,1859800,2737530,449767,2319118.0,456535,589788,534432,1237760,476675,659564,263369,483902,794514,211357,317252,107745,362094,144173,14034
