年月,臺北市,新北市,臺中市,臺南市,高雄市,宜蘭縣,桃園市,新竹市,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義市,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,金門縣,連江縣
90年3月,2644602,3578882,2467469,1843972,2728097,464895,1740396.0,369622,441232,559577,1311378,541303,742653,266596,561826,906975,244791,353272,89830,388987,55153,6989
90年4月,2643578,3582610,2469740,1844473,2728500,464843,1742623.0,370135,441741,559566,1311534,541213,742413,266775,561931,906829,244583,353193,90028,389189,55443,7294
90年5月,2641820,3586885,2472021,1844643,2728739,464712,1745489.0,370611,442189,559640,1311710,541155,742286,266712,562699,906687,244430,353006,90366,389483,55753,7735
90年6月,2641036,3589787,2474738,1845315,2728750,466051,1748057.0,371017,442766,559526,1311675,540987,742275,266858,562813,906505,244275,352778,90719,389732,55950,7926
90年7月,2639619,3593315,2476637,1845430,2729031,465825,1750731.0,371295,443316,559579,1311923,541242,742219,267821,562978,906799,244219,352809,91052,389992,56215,8316
90年8月,2636811,3597675,2478557,1846110,2729038,465785,1754074.0,371871,443893,559778,1312325,541238,742196,267996,562849,907178,244148,352873,91454,390491,56459,8499
90年9月,2634686,3600382,2479926,1846519,2728549,465750,1755741.0,372100,444370,559970,1312642,541266,742545,268118,563059,907919,244206,352840,91965,390445,56631,8873
90年10月,2634429,3603652,2482154,1847545,2729779,465775,1758293.0,372477,444983,560196,1313215,541475,742837,268093,563309,908229,244269,353031,92033,390577,56757,8862
90年11月,2634614,3606602,2483994,1847932,2730646,465818,1760435.0,372804,445561,560376,1313839,541748,742980,268215,563450,908673,244338,353044,91958,390757,56837,8867
90年12月,2633802,3610252,2485968,1848243,2731415,465799,1762963.0,373296,446300,560640,1313994,541818,743562,267993,563365,909364,244612,353139,92268,390966,56958,8851
91年1月,2632515,3612495,2487104,1848293,2731441,465966,1764870.0,373691,446977,560903,1314591,542007,744176,267711,563519,909602,245022,353068,92889,390906,57205,9096
91年2月,2632010,3614389,2487759,1848250,2731082,466230,1766106.0,373841,447610,561166,1315034,542181,744830,267140,564055,910584,245630,353120,93159,390636,57412,9569
91年3月,2632789,3617031,2489711,1848792,2733019,466015,1768783.0,374237,448088,561059,1314961,542109,744341,267212,563691,909367,245374,353008,92702,390732,57482,9469
91年4月,2634028,3619940,2492239,1849165,2735234,465837,1771227.0,374797,448513,561001,1314948,542002,743998,267241,563470,908466,245133,352837,92379,390924,57644,9412
91年5月,2633611,3623112,2494285,1849262,2735847,465639,1774232.0,375392,449030,560972,1315070,541806,743713,267479,563114,908150,244906,352672,92419,390915,57781,9410
91年6月,2635678,3625669,2496283,1849656,2736908,465150,1777100.0,375862,449416,560722,1315075,541385,743415,267592,562606,907479,244631,352459,92424,390764,57892,9322
91年7月,2638142,3627654,2498388,1849970,2738131,464871,1779974.0,376279,450045,560527,1314995,541106,743229,267480,562537,906768,244345,352235,92536,390765,58047,9152
91年8月,2637623,3630765,2500321,1850421,2738985,464697,1783043.0,376765,450546,560474,1315102,540818,742708,267499,562397,906472,244138,352057,92521,390992,58222,9019
91年9月,2637215,3633592,2502098,1850899,2739720,464453,1785572.0,377219,451011,560453,1315352,540788,742904,267620,562306,906353,243919,352064,92470,391047,58377,8932
91年10月,2639094,3635368,2504197,1851491,2740750,464324,1788190.0,377777,451492,560586,1315719,540927,742873,267763,562353,906353,243855,352039,92496,391189,58582,8867
91年11月,2641786,3636811,2506088,1851978,2741999,464279,1790231.0,378125,452097,560735,1315951,541040,742733,267784,562639,906168,243835,352149,92443,391276,58727,8819
91年12月,2641856,3641446,2508495,1852664,2742905,464107,1792603.0,378797,452679,560766,1316179,541292,742797,267907,562394,906178,243965,352154,92446,391450,58933,8763
92年1月,2640303,3644747,2509921,1852839,2743534,464119,1794639.0,379182,453193,560793,1316320,541412,742998,267981,562467,906210,243947,352147,92460,391566,59140,8755
92年2月,2639139,3647919,2511163,1852946,2743683,463989,1796701.0,379541,453431,560760,1316404,541386,742767,268189,562010,906008,243834,351949,92434,391626,59311,8761
92年3月,2638065,3651248,2513013,1853206,2744120,463954,1799061.0,379938,453906,560581,1316256,541222,742406,268263,561747,905660,243581,351631,92366,391657,59517,8757
92年4月,2636955,3654067,2514871,1853307,2744155,463797,1800818.0,380307,454297,560591,1316280,541010,742193,268557,561318,905333,243718,351495,92344,391682,59594,8740
92年5月,2633645,3657049,2516534,1853518,2743943,463664,1803177.0,380589,454862,560479,1316131,540904,741942,268755,561252,905154,244031,351327,92328,391694,59601,8713
92年6月,2631380,3659211,2518745,1853932,2743935,463606,1805707.0,381035,455354,560488,1315827,540682,741930,268947,560968,904794,243967,351206,92298,391828,59695,8718
92年7月,2629874,3661597,2520551,1854390,2744188,463458,1808525.0,381456,455907,560574,1315896,540667,741677,269130,560810,904552,243886,351299,92280,391790,59777,8712
92年8月,2628160,3664693,2522182,1854590,2744311,463451,1811298.0,381624,456621,560623,1315834,540594,741352,269231,560667,904241,243563,351269,92301,391879,59996,8723
92年9月,2626320,3667967,2524052,1854830,2744639,463325,1814299.0,381845,457453,560635,1315638,540375,741222,269313,560508,903922,243257,351238,92303,391909,60183,8732
92年10月,2626652,3670635,2525887,1855389,2745433,463310,1817035.0,382154,458135,560753,1315877,540401,741020,269396,560437,903803,243163,351232,92293,392052,60482,8742
92年11月,2626723,3672976,2527587,1855950,2746092,463328,1819433.0,382515,458743,560938,1316034,540425,740782,269503,560449,903887,243061,351249,92262,392200,60731,8773
92年12月,2627138,3676533,2529763,1856461,2746819,463285,1822075.0,382897,459287,560903,1316443,540397,740501,269594,560410,903772,242842,351146,92253,392242,60983,8806
93年1月,2627382,3678667,2531028,1856647,2747242,463215,1824247.0,383158,459726,560830,1316650,540180,739951,269584,560289,903721,242685,351045,92238,392214,61159,8807
93年2月,2627843,3681494,2532194,1856503,2747538,462930,1826610.0,383370,460349,560798,1316706,539949,739166,269592,559881,903412,242393,350829,92068,392344,61215,8813
93年3月,2627029,3684017,2533578,1856724,2747676,462758,1828926.0,383655,460927,560863,1316771,539899,738703,269681,559789,903162,242225,350587,91949,392403,61332,8824
93年4月,2625895,3686687,2535305,1857129,2747800,462614,1831409.0,384044,461566,560597,1316321,539721,738298,269930,559329,902639,241955,350468,91885,392487,61614,8896
93年5月,2625512,3689664,2537066,1857650,2747706,462477,1834045.0,384384,462169,560453,1315886,539431,738158,270143,558932,902323,241676,350135,91840,392342,61757,8912
93年6月,2625445,3692115,2538838,1857989,2748420,462313,1837050.0,384843,462718,560497,1316045,538965,738213,270156,558501,901765,241332,349976,91822,392279,61990,8978
93年7月,2624858,3694608,2540228,1858371,2748896,462285,1839691.0,385267,463321,560465,1316137,538834,737987,270152,558254,901507,241192,349733,91796,392256,62209,9113
93年8月,2624139,3697246,2541397,1858792,2749340,462249,1842468.0,385583,464033,560520,1316124,538711,737558,270157,557955,901114,240869,349625,91767,392313,62493,9189
93年9月,2621641,3700163,2542701,1858965,2749462,462232,1845608.0,385771,465161,560475,1316171,538713,737358,270241,557842,900686,240739,349360,91783,392289,62753,9227
93年10月,2621826,3702715,2544326,1859456,2750264,462240,1847977.0,385999,465742,560563,1316420,538657,737213,270254,557921,900599,240596,349320,91742,392214,62986,9244
93年11月,2622565,3705291,2546236,1859955,2751136,462271,1850605.0,386647,466364,560700,1316820,538537,737009,270286,557898,900361,240529,349252,91753,392220,63246,9259
93年12月,2622472,3708099,2548332,1860591,2751602,462286,1853029.0,386950,467246,560643,1316762,538413,736772,270341,557903,900199,240373,349149,91808,392337,64456,9359
