,新北市,臺北市,臺中市,臺南市,高雄市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,桃園市
103年2月,3955842,2689327,2704070,1883033,2779653,458312,2045309,531303,565666,1295375,516731,707188,528148,851432,224753,333653,100609,374658,429018,271072,121749,12228,
103年3月,3955390,2690232,2705064,1883077,2778669,458427,2045811,531723,565693,1294911,516315,706958,527721,851127,224675,333639,100812,374428,429212,271103,122296,12311,
103年4月,3954905,2691331,2706209,1883102,2778132,458550,2046547,532474,565965,1294433,516207,707151,527470,850931,224803,333694,100994,374269,429420,271063,122956,12342,
103年5月,3955995,2692138,2707123,1882865,2777415,458568,2047834,533361,566262,1293997,515996,707199,527196,850693,224905,333668,101156,373998,429654,270983,123512,12365,
103年6月,3956728,2693672,2708338,1883042,2777296,458771,2049009,533851,566446,1293530,515784,707282,526936,850527,225041,333630,101112,373786,430041,270841,123947,12426,
103年7月,3957965,2695027,2709764,1882946,2777240,458786,2050600,534493,566704,1293129,515564,707199,526735,850166,225170,333707,101176,373702,430295,270818,124616,12461,
103年8月,3959855,2695007,2711252,1883451,2777318,458877,2052529,535307,566818,1292599,515345,706941,526469,849794,225061,333733,101110,373721,430644,270885,125089,12438,
103年9月,3961374,2695649,2712948,1883493,2777461,458784,2054260,536111,566918,1292126,515081,706688,526028,849326,224931,333531,101482,373597,431029,270826,126156,12481,
103年10月,3962920,2697644,2714642,1883562,2777773,458799,2055259,536539,567044,1292098,514894,706634,525775,849113,224807,333413,101548,373463,431336,270779,126562,12512,
103年11月,3963970,2700091,2716497,1883844,2778155,458880,2056273,536954,567202,1292226,514836,706174,525579,848804,224719,333484,101636,373340,431601,270858,126964,12528,
103年12月,3966818,2702315,2719835,1884284,2778992,458777,,537630,567132,1291474,514315,705356,524783,847917,224470,333392,101758,373077,431988,270883,127723,12506,2058328
104年1月,3967571,2704133,2721709,1884641,2779355,458691,,537907,567092,1291312,513970,704784,524276,847155,224218,333240,101803,373011,432259,270925,128187,12538,2061501
104年2月,3967419,2705113,2723479,1884863,2779527,458490,,537978,567004,1291053,513696,704241,523835,846650,224092,333070,101850,372956,432366,270875,128477,12534,2065966
104年3月,3965649,2705958,2725497,1885106,2779136,458370,,538071,566585,1290495,513092,703407,523162,845779,223831,332837,101856,372969,432456,270867,128924,12504,2072736
104年4月,3964888,2705949,2727460,1885287,2778914,458273,,538153,566199,1289792,512460,702881,522587,845079,223559,332674,101842,372985,432559,271009,129423,12485,2077929
104年5月,3965926,2705921,2729291,1885240,2778793,458250,,538712,565795,1289506,511940,702304,522065,844445,223326,332472,101838,372791,432692,270958,129639,12476,2082165
104年6月,3966052,2706030,2731500,1885376,2778835,458313,,539173,565704,1289274,511518,701898,521591,843981,223189,332424,101753,372787,432860,270896,129831,12496,2086081
104年7月,3966071,2703444,2733761,1885077,2778276,458299,,539620,565300,1288930,511060,701280,521186,843522,223025,332242,101777,372620,432966,270732,130461,12506,2089553
104年8月,3966533,2701571,2736813,1885079,2777948,458375,,540193,564855,1288529,510632,700846,520910,842976,222967,332091,101734,372604,433091,270656,131099,12524,2092977
104年9月,3967483,2700115,2738553,1885037,2777870,458261,,540605,564549,1288295,510094,700437,520670,842425,222910,332026,102204,372511,433348,270473,131905,12545,2096432
104年10月,3968921,2701514,2740634,1885175,2778249,458078,,541078,564305,1288346,509911,700127,520424,842097,222708,332063,102279,372355,433581,270396,132269,12547,2099583
104年11月,3969855,2702809,2742503,1885390,2778512,458070,,541527,564111,1288696,509738,699793,520119,841669,222645,332033,102317,372226,433774,270415,132532,12546,2102513
104年12月,3970644,2704810,2744445,1885541,2778918,458117,,542042,563912,1289072,509490,699633,519839,841253,222452,331945,102304,372105,434060,270366,132799,12547,2105780
105年1月,3971250,2704974,2746112,1885550,2778729,458037,,542513,563489,1289295,509162,699236,519482,840931,222244,331845,102355,372019,434258,270273,132995,12533,2108786
105年2月,3971660,2704410,2747561,1885453,2778574,457995,,542821,563084,1289209,508586,698753,519045,840408,222118,331801,102336,371914,434279,270297,132960,12523,2111148
105年3月,3970790,2704495,2748799,1885157,2778240,457854,,543183,562473,1288945,508146,698187,518507,839760,221974,331633,102332,371882,434492,270264,132998,12530,2114172
105年4月,3971000,2703829,2750322,1885252,2778107,457815,,543600,562133,1288923,507852,697752,518026,839339,221817,331498,102369,372037,434674,270463,133086,12522,2116988
105年5月,3972003,2702930,2752413,1885199,2777784,457811,,544198,561755,1288776,507421,697318,517698,839001,221633,331379,102396,371878,434955,270295,133150,12518,2120838
105年6月,3972204,2702925,2754191,1885388,2778092,457808,,544624,561495,1288803,507210,697105,517339,838584,221504,331372,102329,371837,435238,270254,133185,12536,2124339
105年7月,3973655,2701645,2756256,1885629,2778285,457746,,545204,561138,1288970,506966,696691,517224,838166,221408,331323,102357,371901,435488,270125,133448,12531,2128594
105年8月,3974278,2698591,2758136,1885601,2778318,457788,,545674,560745,1288345,506530,696315,516915,837700,221324,331332,102406,371986,435805,269992,133656,12550,2132854
105年9月,3974911,2696316,2759887,1885499,2778332,457671,,546272,560271,1287665,506052,695925,516531,837048,221199,331223,102880,372019,436220,269890,134419,12586,2136702
105年10月,3976313,2696319,2762699,1885603,2778375,457599,,546672,559886,1287450,505660,695628,516218,836699,221098,331065,102992,372048,436490,269804,134687,12598,2140392
105年11月,3977905,2695652,2764958,1885653,2778770,457587,,546934,559557,1287165,505371,695195,515835,836243,220942,330930,103104,372062,436877,269815,134858,12608,2144044
105年12月,3979208,2695704,2767239,1886033,2779371,457538,,547481,559189,1287146,505163,694873,515320,835792,220802,330911,103263,372100,437337,269874,135114,12595,2147763
106年1月,3979963,2695371,2769005,1886075,2779332,457349,,547794,558779,1286842,504838,694519,515012,835409,220712,330810,103303,372044,437753,269879,135223,12649,2150685
106年2月,3980317,2694195,2770356,1886160,2779052,457323,,548090,558373,1286346,504561,693987,514717,834807,220632,330691,103281,372049,438018,269828,135235,12650,2153521
106年3月,3980414,2693313,2772118,1886368,2778726,457205,,548418,557741,1285885,504098,693525,514134,834191,220465,330484,103343,371973,438322,269938,135342,12678,2156999
106年4月,3980867,2692118,2773527,1886636,2778734,457093,,548660,557225,1285450,503862,693209,513772,833602,220244,330343,103385,372086,438524,269949,135440,12687,2160035
106年5月,3982268,2690813,2775294,1886473,2778415,457133,,549118,556638,1284785,503575,692818,513393,832994,220191,330139,103434,371981,438863,269793,135535,12696,2163728
106年6月,3982434,2689845,2776579,1886502,2778023,457106,,549580,556324,1284423,503261,692570,513082,832489,220083,329976,103406,371876,439299,269717,135563,12716,2167616
106年7月,3984051,2687629,2778182,1886267,2777873,456985,,550070,555972,1284045,502932,692074,512792,832127,219974,329845,103419,371853,439435,269608,135816,12727,2171127
106年8月,3984720,2685202,2780155,1886145,2777564,456904,,550621,555485,1283426,502482,691673,512548,831629,219879,329676,103412,371819,439747,269427,136004,12756,2174895
106年9月,3984975,2682893,2781498,1886088,2777021,456851,,551201,555049,1282991,502095,691348,512064,831073,219716,329531,103843,371758,440098,269338,136812,12766,2178458
106年10月,3985698,2683202,2783298,1886387,2776791,456756,,551447,554652,1282934,501757,691021,511797,830697,219686,329462,103956,371669,440409,269364,137042,12823,2181470
106年11月,3986291,2683321,2785159,1886465,2776846,456688,,551816,554267,1282669,501474,690662,511520,830303,219627,329374,104005,371560,440717,269338,137255,12841,2184655
106年12月,3986689,2683257,2787070,1886522,2776912,456607,,552169,553807,1282458,501051,690373,511182,829939,219540,329237,104073,371458,441132,269398,137456,12880,2188017
107年1月,3986348,2682721,2788828,1886251,2776786,456362,,552334,553245,1281940,500686,689861,510806,829475,219467,329016,104105,371317,441639,269345,137577,12906,2191034
107年2月,3986501,2681375,2790381,1886074,2776366,456259,,552488,552807,1281304,500449,689463,510498,829094,219436,328853,104087,371204,441817,269327,137625,12902,2193098
107年3月,3986382,2680218,2792164,1885882,2775935,456068,,552877,552161,1280528,500103,689098,510018,828654,219466,328695,104086,371119,442315,269307,137642,12923,2196349
107年4月,3985915,2678695,2793005,1885478,2775318,456066,,553250,551791,1280038,499879,689003,509677,828524,219628,328683,104121,371099,442570,269239,137730,12958,2198830
107年5月,3986911,2676767,2793980,1884935,2774323,456047,,553978,551337,1279460,499531,688781,509360,828463,219744,328721,104107,370944,443038,269091,137860,13003,2202034
107年6月,3987520,2675713,2794933,1884717,2773932,456006,,554541,551082,1279276,499194,688717,509161,828275,219643,328749,104013,370795,443351,268951,137837,13044,2204824
107年7月,3988906,2674063,2796081,1884596,2773506,455924,,555074,550825,1278945,498851,688559,508729,828083,219584,328709,104041,370612,443581,268973,137952,13076,2208035
107年8月,3990211,2672092,2797223,1884327,2773093,455758,,555604,550386,1278568,498425,688081,508372,827599,219489,328601,103976,370461,443969,268809,138026,13074,2211127
107年9月,3991411,2669639,2797874,1884036,2772820,455592,,556056,550085,1278311,498117,687646,508038,827051,219342,328444,104392,370368,444406,268699,138724,13058,2213379
107年10月,3992291,2669874,2799254,1883804,2772624,455508,,556307,549798,1278437,497876,687195,507780,826779,219268,328331,104400,370269,444775,268741,138845,13062,2215615
107年11月,3993872,2669634,2801238,1883760,2773001,455376,,556622,549405,1278371,497486,686674,507462,826323,219145,328264,104441,370206,445107,268697,138963,13042,2217776
107年12月,3995717,2668572,2803894,1883831,2773533,455221,,557010,548863,1277824,497031,686022,507068,825406,218919,327968,104440,370155,445635,268622,139273,13056,2220872
108年1月,3997189,2666908,2806406,1883723,2773607,455035,,557349,548403,1277176,496606,685354,506559,824587,218691,327788,104511,369987,445990,268579,139484,13079,2223733
108年2月,3998358,2664983,2807325,1883448,2773596,454922,,557641,548124,1276766,496435,684759,506206,823952,218513,327654,104533,369916,446210,268543,139426,13073,2225621
108年3月,3998883,2663425,2808219,1883356,2773271,454770,,558020,547692,1276289,496167,684241,505785,823256,218256,327513,104574,369848,446567,268502,139387,13053,2228118
108年4月,4000164,2661317,2809004,1883078,2773229,454732,,558507,547387,1275669,495891,683898,505408,822709,218119,327349,104683,369820,446701,268474,139464,13056,2230653
108年5月,4003297,2658615,2809545,1882624,2773026,454725,,559317,547037,1275111,495546,683589,505035,822270,217936,327080,104751,369613,447081,268514,139440,13095,2232623
108年6月,4004598,2657652,2810219,1882313,2773177,454706,,559734,546690,1274724,495283,683318,504750,821834,217721,326986,104676,369475,447359,268435,139281,13095,2235005
108年7月,4007814,2654008,2811148,1881796,2773591,454636,,560719,546461,1274274,495084,682912,504453,821196,217540,326813,104708,369360,447484,268231,139365,13062,2237943
108年8月,4010657,2650154,2811729,1881730,2773786,454579,,561806,546424,1273613,495062,682577,504106,820798,217408,326780,104711,369305,447781,268068,139319,13073,2240328
108年9月,4012918,2647164,2812507,1881494,2773199,454345,,562674,546093,1273130,494692,682066,503773,820155,217166,326576,105152,369132,447952,267863,139987,13060,2242685
108年10月,4014560,2646204,2813397,1881204,2773127,454287,,563104,545852,1272939,494522,681834,503485,819793,217074,326465,105192,369055,448207,267772,140045,13089,2245059
108年11月,4016477,2645293,2814224,1881156,2773060,454226,,563368,545645,1272789,494352,681584,503357,819429,216966,326369,105236,368905,448472,267733,140149,13093,2246893
108年12月,4018696,2645041,2815261,1880906,2773198,454178,,563933,545459,1272802,494112,681306,503113,819184,216781,326247,105207,368893,448803,267690,140185,13089,2249037
109年1月,4020572,2642877,2815704,1880216,2774571,454161,,564296,545433,1272449,493984,680963,502718,818493,216633,326063,105147,368932,449113,267653,140253,13080,2250954
109年2月,4022450,2639084,2816052,1879647,2774316,454099,,564832,545158,1271761,493743,680448,502385,817803,216453,325857,105121,368870,449251,267598,140081,13059,2252835
109年3月,4023620,2635286,2816667,1879115,2773984,453951,,565272,544762,1271015,493403,680050,502007,817193,216308,325706,105117,368792,449425,267472,139951,13034,2254363
109年4月,4024539,2631083,2816741,1878845,2773401,453915,,565851,544548,1270521,493138,679635,501774,816636,216164,325582,105070,368850,449593,267432,139804,13045,2255753
109年5月,4026407,2626385,2816494,1878253,2772834,453970,,566434,544339,1269953,492877,679468,501376,816173,216045,325453,105022,368686,449806,267203,139683,13036,2256665
109年6月,4026646,2624143,2816917,1877891,2771846,453891,,566998,544135,1269791,492733,679273,501212,815789,215940,325271,105028,368528,450021,267034,139588,13049,2258099
109年7月,4027481,2620037,2816792,1877294,2770654,453760,,567807,543803,1269395,492410,678896,500897,815367,215768,325058,105174,368372,450113,266833,139628,13123,2260043
109年8月,4028324,2615642,2816819,1876829,2769434,453646,,568516,543711,1268766,492168,678589,500654,814895,215674,325018,105277,368184,450288,266668,139703,13089,2262440
109年9月,4029205,2610762,2816779,1876364,2767931,453452,,569199,543513,1267988,491743,678064,500316,814210,215483,324804,105794,368020,450617,266442,140329,13132,2264231
109年10月,4029920,2608332,2817547,1875909,2767383,453309,,569565,543287,1267786,491546,677669,500117,813676,215468,324602,105912,367890,450793,266251,140420,13149,2265940
109年11月,4030594,2605369,2818670,1875378,2766752,453246,,570065,542985,1267339,491241,677293,499881,813176,215351,324501,105907,367740,451033,266076,140490,13199,2267070
109年12月,4030954,2602418,2820787,1874917,2765932,453087,,570775,542590,1266670,490832,676873,499481,812658,215261,324372,105952,367577,451412,266005,140597,13279,2268807
